Downloaded URL,Size in Bytes,No of outlinks,ContentType
https://www.nytimes.com/issue/magazine/2017/06/16/magazine-index-20170618,341098,61,text/html
https://www.nytimes.com/issue/magazine/2019/03/15/the-31719-issue,297181,57,text/html
https://www.nytimes.com/issue/magazine/2019/08/14/the-72119-issue,268786,53,text/html
https://www.nytimes.com/issue/magazine/2022/06/03/the-6522-issue,200435,43,text/html
https://www.nytimes.com/issue/magazine/2017/09/01/90317-issue,312626,61,text/html
https://www.nytimes.com/issue/magazine/2023/07/07/the-7923-issue,293773,57,text/html
https://www.nytimes.com/issue/magazine/2020/08/21/the-82320-issue,294616,57,text/html
https://www.nytimes.com/issue/magazine/2023/06/29/the-7223-issue,267289,53,text/html
https://www.nytimes.com/issue/magazine/2020/12/04/the-12620-issue,309543,57,text/html
https://www.nytimes.com/issue/magazine/2018/08/24/the-82618-issue,330989,61,text/html
https://www.nytimes.com/issue/magazine/2022/10/21/the-102322-issue,267056,53,text/html
https://www.nytimes.com/issue/magazine/2022/04/01/the-4322-issue,291675,57,text/html
https://www.nytimes.com/issue/magazine/2019/04/12/the-41419-issue,309132,59,text/html
https://www.nytimes.com/issue/magazine/2021/04/12/the-41121-issue,267177,53,text/html
https://www.nytimes.com/issue/magazine/2019/07/11/the-71419-issue,270155,53,text/html
https://www.nytimes.com/issue/magazine/2019/04/23/the-42119-issue,307023,59,text/html
https://www.nytimes.com/issue/magazine/2021/04/30/the-5221-issue,189200,43,text/html
https://www.nytimes.com/issue/magazine/2018/10/12/the-101418-issue,334067,61,text/html
https://www.nytimes.com/issue/magazine/2019/10/25/the-102719-issue,307449,59,text/html
https://www.nytimes.com/issue/magazine/2018/01/05/10718-issue,314101,61,text/html
https://www.nytimes.com/issue/magazine/2020/04/17/the-41920-issue,281526,55,text/html
https://www.nytimes.com/2023/10/08/nyregion/metropolitan-diary.html,273441,116,text/html
https://www.nytimes.com/by/rebecca-lieberman,887852,54,text/html
https://www.nytimes.com/column/sunday-routine,375076,54,text/html
https://www.nytimes.com/by/ainara-tiefenthaler,669475,56,text/html
https://www.nytimes.com/by/keith-collins,686434,54,text/html
https://www.nytimes.com/by/matthew-bloch,897902,53,text/html
https://www.nytimes.com/spotlight/visual-investigations,1048576,131,text/html
https://www.nytimes.com/by/sarah-kerr,777443,55,text/html
https://www.nytimes.com/2023/09/23/climate/arrow-glacier-melting-norway.html?smid=nytcore-ios-share&referringSource=articleShare,260862,130,text/html
https://www.nytimes.com/2023/09/22/business/food-companies-emissions-climate-pledges.html?smid=nytcore-ios-share&referringSource=articleShare,283439,128,text/html
https://www.nytimes.com/live/2023/09/21/climate/gates-bloomberg-world-bank,835823,146,text/html
https://www.nytimes.com/wirecutter/guides/heat-pump-buying-guide/,535152,728,text/html
https://www.nytimes.com/2023/09/24/business/japan-cool-biz.html,282532,121,text/html
https://www.nytimes.com/2023/09/22/world/americas/gold-mercury-mining-poison.html?campaign_id=9&emc=edit_nn_20230924&instance_id=103544&nl=the-morning&regi_id=76187137&segment_id=145583&te=1&user_id=b80ecdfce6ed23e4a5c3e76d38e086ee,349973,135,text/html
https://www.nytimes.com/2023/09/23/us/saltwater-mississippi-new-orleans.html,247950,115,text/html
https://www.nytimes.com/interactive/2023/03/19/us/carbon-capture.html,253295,119,text/html
